Institute,City,School / Department,Program Title,Degree,Degree Level,Program Type,Duration,Fee (PKR),Eligibility Criteria,Admission Test,Program URL,Fee URL,Admission Deadline
University of Management and Technology,Lahore,School of Science,BS Biochemistry Post ADP/BSc,BS BC-Post ADP/BSc,Post Associate Degree Programs,Morning,2 years,624672,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS BC-Post.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Biotechnology,BS BT,Undergraduate Programs,Morning,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-BT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Biotechnology Post ADP/BSc,BS BT-Post ADP/BSc,Post Associate Degree Programs,Morning,2 years,642235,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS BT- Post.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Chemistry,BS Ch,Undergraduate Programs,Morning,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Chem.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Chemistry Post ADP/BSc,BS Ch-Post ADP/BSc,Post Associate Degree Programs,Morning,2 years,604607,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS Chem-Post.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Mathematics (Artificial Intelligence and Data Sciences),BS Maths,Undergraduate Programs,Morning,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Maths.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Mathematics Post ADP/BSc,BS MA-Post ADP/BSc,Post Associate Degree Programs,Morning,2 years,612455,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS MAth - Post.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Microbiology,BS MB,Undergraduate Programs,Morning,4 years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-MB.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Microbiology Post ADP/BSc,BS MB-Post ADP/BSc,Post Associate Degree Programs,Morning,2 years,620073,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS MB - Post.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,"BS Physics (Artificial Intelligence, Data Sciences, Industrial Electronics)",BS Phy,Undergraduate Programs,Morning,4 Years,1090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Physics.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,BS Physics Post ADP/BSc,BS Phy-Post ADP/BSc,Post Associate Degree Programs,Morning,2 years,651087,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS Phy-Post.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,MS Biochemistry (Regular /Weekend),MS BC,Graduate Programs,Evening/Weekend,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSBio.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,MS Biotechnology (Regular/Weekend),MS BT,Graduate Programs,Evening/Weekend,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSBioT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,MS Chemistry (Regular/Weekend),MS Chem,Graduate Programs,Evening/Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSChem.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,MS Mathematics (Regular /Weekend),MS MA,Graduate Programs,Evening/Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSMAths.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,MS Physics (Regular /Weekend),MS Phy,Graduate Programs,Evening/Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSPhy.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,Phd Biosciences,Phd BioSci,PhD Programs,Evening,3 Years,690000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/Phd Biosciences.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,PhD Chemistry,PhD Ch,PhD Programs,Evening,3 Years,790000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhDChem.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,PhD Mathematics,PhD MA,PhD Programs,Evening,3 Years,690000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhDMAths.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Science,PhD Physics,PhD Phy,PhD Programs,Evening,3 Years,790000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhDPhy.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,BS Education,BS Edu,Undergraduate Programs,Morning,4 Years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Edu.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,BS Gender Studies - Post BSc/BA,BSGS POST BA/BSc,Post Associate Degree Programs,Morning,2 Years,381026,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSGS-POSTADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,BS Honors in Special Needs Education,BS SNE,Undergraduate Programs,Morning,4 Years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSSNE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,BS International Relations,BS IR,Undergraduate Programs,Morning,4 Years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSIR.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,BS Political Science,BSPOL,Undergraduate Programs,Morning,4 Years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSPOL.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,BS Sociology,BS Soc,Undergraduate Programs,Morning,4 Years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSSocio.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,BS Sociology - Post BSc/BA,BSSOC POST BA/BSc,Post Associate Degree Programs,Morning,2 years,566842,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSSOC-POSTADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,BS Special Need Education - Post ADP/BSc/BA,BS SNE POST ADP/BA/BSc,Post Associate Degree Programs,Morning,2 years,480120,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSNE-POSTADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil Education (Regular/Weekend),MPhil Edu,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MPhil-Edu.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil Educational Leadership and Management (MPhil. ELM) (Weekend),MPhil ELM,Graduate Programs,Weekend,2 years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MphilELM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil Gender Studies,MPhil-GS,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MPhil-GS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil International Relation (Weekend),MPhil IR,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/M.Phil-IR.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil Islamic Studies (Major in Seerat-un-Nabi (SAW)) (Weekend),MPhil IS,Graduate Programs,Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/M.Phil-IS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil Islamic Thought and Civilization (Weekend),MPhil ITC,Graduate Programs,Weekend,2 years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-ITC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil Political Science (Weekend),MPhil PS,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-POL.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil Sociology (Weekend),MPhil SOC,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MPhilSociology2years.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MPhil Special Education (Weekend),MPhil SEDU,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MPhil-SEDU.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,MS Security and Strategic Studies (Weekend),MS SSS,Graduate Programs,Weekend,2 Years,390000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS- Security and Strategic Studies.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,PhD International Relations,PhD-IR,PhD Programs,Evening,3 Years,690000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD-IR.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,PhD Islamic Thought and Civilization,PhD-ITC,PhD Programs,Afternoon,3 Years,940000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD ITC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Social Sciences and Humanities,PhD Sociology,PhD,PhD Programs,Evening/Weekend,3 Years,690000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD Sociology.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Artificial Intelligence,BSAI,Undergraduate Programs,Morning,4 years,1890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS AI.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Blockchain Technology,BSBCT,Undergraduate Programs,Morning,4 Years,1690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSBCT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Computer Science,BSCS,Undergraduate Programs,Morning,4 years,2090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSCS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Computer Science - Post ADP,BSCS Post ADP,Post Associate Degree Programs,Morning,2 years,1191303,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS CS- Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Cyber Security,BS CySec,Undergraduate Programs,Morning,4 Years,1690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS Cyber security.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Data Science,BSDS,Undergraduate Programs,Morning,4 Years,1690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-DS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Gaming and Immersive Media,BSGIM,Undergraduate Programs,Morning,4 Years,1690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSGIM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Information Technology,BSIT,Undergraduate Programs,Morning,4 years,1690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSIT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,BS Software Engineering,BSSE,Undergraduate Programs,Morning,4 years,1990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/Bbse.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,MS Artificial Intelligence (Weekend),MSAI,Graduate Programs,Weekend,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS AI.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,MS Computer Science (Weekend),MSCS,Graduate Programs,Weekend,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSCS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,MS Data Science (Weekend),MSDS,Graduate Programs,Weekend,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-DS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,MS Information Security (Weekend),MSIS,Graduate Programs,Weekend,2 years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-IS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,MS Information Technology (Weekend),MSIT,Graduate Programs,Weekend,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-IT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,MS Software Engineering (Weekend),MSSE,Graduate Programs,Weekend,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSSE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,MS Software Project Management (Weekend),MS SPM,Graduate Programs,Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS SPM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Systems and Technology,PhD Computer Science,PhD CS,PhD Programs,Weekend,3 Years,990000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD-CS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Accounting & Finance,ADP AF,Associate Degree Program,Morning,2 years,525000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-AF.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Artificial Intelligence,ADP AI,Associate Degree Program,Morning,2 Years,590000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-AI.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Business Administration & Commerce,ADP BAC,Associate Degree Program,Morning,2 Years,525000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-BAC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Computer Science,ADP CS,Associate Degree Program,Morning,2 years,690000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-CS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Digital Marketing,ADP DM,Associate Degree Program,Morning,2 Years,525000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP DM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Fashion Design,ADP FD,Associate Degree Program,Morning,2 Years,525000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-FD.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Graphic Design,ADP GD,Associate Degree Program,Morning,2 Years,525000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-GD.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Information Technology Management,ADP ITM,Associate Degree Program,Morning,2 years,525000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-IT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Media & Communication Studies,ADP MC,Associate Degree Program,Morning,2-Years,525000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-MCS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Psychology,ADP Psy,Associate Degree Program,Morning,2 years,525000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP-Psy.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,The College of Arts Science and Technology,Associate Degree in Software Engineering,ADP SE,Associate Degree Program,Morning,2 Years,590000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP SE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
